sr no.,Book,Author(s),Original language,First published,Genre
1,A Tale of Two Cities,Charles Dickens,English,1859,Historical fiction
2,The Little Prince (Le Petit Prince),Antoine de Saint-Exupéry,French,1943,Novella
3,Harry Potter and the Philosopher's Stone,J. K. Rowling,English,1997,Fantasy
4,And Then There Were None,Agatha Christie,English,1939,Mystery
5,Dream of the Red Chamber (???),Cao Xueqin,Chinese,1791,Family saga
6,The Hobbit,J. R. R. Tolkien,English,1937,Fantasy
7,"The Lion, the Witch and the Wardrobe",C. S. Lewis,English,1950,"Fantasy, Children's fiction"
8,She: A History of Adventure,H. Rider Haggard,English,1887,Adventure
9,Vardi Wala Gunda (????? ???? ?????),Ved Prakash Sharma,Hindi,1992,Detective
10,The Da Vinci Code,Dan Brown,English,2003,Mystery thriller
11,Harry Potter and the Chamber of Secrets,J. K. Rowling,English,1998,Fantasy
12,Harry Potter and the Prisoner of Azkaban,J. K. Rowling,English,1999,Fantasy
13,Harry Potter and the Goblet of Fire,J. K. Rowling,English,2000,Fantasy
14,Harry Potter and the Order of the Phoenix,J. K. Rowling,English,2003,Fantasy
15,Harry Potter and the Half-Blood Prince,J. K. Rowling,English,2005,Fantasy
16,Harry Potter and the Deathly Hallows,J. K. Rowling,English,2007,Fantasy
17,The Alchemist (O Alquimista),Paulo Coelho,Portuguese,1988,Fantasy
18,The Catcher in the Rye,J. D. Salinger,English,1951,Coming-of-age
19,The Bridges of Madison County,Robert James Waller,English,1992,Romance
20,Ben-Hur: A Tale of the Christ,Lew Wallace,English,1880,Historical fiction
21,You Can Heal Your Life,Louise Hay,English,1984,Self-help
22,One Hundred Years of Solitude (Cien años de soledad),Gabriel García Márquez,Spanish,1967,Magic realism
23,Lolita,Vladimir Nabokov,English,1955,Novel
24,Heidi,Johanna Spyri,German,1880,Children's fiction
25,The Common Sense Book of Baby and Child Care,Benjamin Spock,English,1946,Manual
26,Anne of Green Gables,Lucy Maud Montgomery,English,1908,Children's novel
27,Black Beauty,Anna Sewell,English,1877,Children's literature
28,The Name of the Rose (Il Nome della Rosa),Umberto Eco,Italian,1980,"Historical novel, mystery"
29,The Eagle Has Landed,Jack Higgins,English,1975,"War, thriller"
30,Watership Down,Richard Adams,English,1972,Fantasy
31,The Hite Report,Shere Hite,English,1976,Sexology
32,Charlotte's Web,E. B. White; illustrated by Garth Williams,English,1952,Children's fiction
33,The Ginger Man,J. P. Donleavy,English,1955,Novel
34,The Tale of Peter Rabbit,Beatrix Potter,English,1902,Children's Literature
35,Jonathan Livingston Seagull,Richard Bach,English,1970,"Novella, Self-help"
36,The Very Hungry Caterpillar,Eric Carle,English,1969,"Children's Literature, picture book"
37,A Message to Garcia,Elbert Hubbard,English,1899,Essay/Literature
38,To Kill a Mockingbird,Harper Lee,English,1960,"Southern Gothic, Bildungsroman"
39,Flowers in the Attic,V. C. Andrews,English,1979,"Gothic horror, Family saga"
40,Cosmos,Carl Sagan,English,1980,"Popular science, Anthropology, Astrophysics, Cosmology, Philosophy, History"
41,Sophie's World (Sofies verden),Jostein Gaarder,Norwegian,1991,"Philosophical novel, Young adult"
42,Angels & Demons,Dan Brown,English,2000,Mystery-thriller
43,Kane and Abel,Jeffrey Archer,English,1979,Novel
44,How the Steel Was Tempered (??? ?????????? ?????),Nikolai Ostrovsky,Russian,1932,Socialist realist novel
45,War and Peace (????? ? ???),Leo Tolstoy,Russian,1869,Historical novel
46,The Adventures of Pinocchio (Le avventure di Pinocchio),Carlo Collodi,Italian,1881,"Fantasy, Children's fiction"
47,The Diary of Anne Frank (Het Achterhuis),Anne Frank,Dutch,1947,"Historical non-fiction, Autobiography, Memoir, Bildungsroman / Coming of Age, Jewish literature"
48,Your Erroneous Zones,Wayne Dyer,English,1976,Self-help
49,The Thorn Birds,Colleen McCullough,English,1977,Romantic family saga
50,The Purpose Driven Life,Rick Warren,English,2002,Christian literature
51,The Kite Runner,Khaled Hosseini,English,2003,"Bildungsroman, Historical fiction"
52,Valley of the Dolls,Jacqueline Susann,English,1966,Novel
53,Alcoholics Anonymous Big Book,Bill Wilson,English,1939,Self-help
54,How to Win Friends and Influence People,Dale Carnegie,English,1936,Self-help
55,The Great Gatsby,F. Scott Fitzgerald,English,1925,"Novel, tragedy"
56,Gone with the Wind,Margaret Mitchell,English,1936,Historical fiction
57,Rebecca,Daphne du Maurier,English,1938,Gothic novel
58,Nineteen Eighty-Four,George Orwell,English,1949,"Dystopian, political fiction, social science fiction"
59,The Revolt of Mamie Stover,William Bradford Huie,English,1951,Fiction
60,The Girl with the Dragon Tattoo (Män som hatar kvinnor),Stieg Larsson,Swedish,2005,Fiction
61,The Lost Symbol,Dan Brown,English,2009,Fiction
62,The Hunger Games,Suzanne Collins,English,2008,Young adult fiction
63,James and the Giant Peach,Roald Dahl,English,1961,Children's novel
64,The Young Guard (??????? ???????),Alexander Alexandrovich Fadeyev,Russian,1945,Young adult historical novel
65,Who Moved My Cheese?,Spencer Johnson,English,1998,"Self-help, motivational, business fable, psychology, leadership, parable"
66,A Brief History of Time,Stephen Hawking,English,1988,Popular science
67,Paul et Virginie,Jacques-Henri Bernardin de Saint-Pierre,French,1788,Novel
68,Lust for Life,Irving Stone,English,1934,Biographical novel
69,The Wind in the Willows,Kenneth Grahame,English,1908,Children's literature
70,The 7 Habits of Highly Effective People,Stephen R. Covey,English,1989,Self-help
71,Virgin Soil Upturned (???????? ??????),Mikhail Sholokhov,Russian,1935,Novel
72,The Celestine Prophecy,James Redfield,English,1993,New-age spiritual novel
73,The Fault in Our Stars,John Green,English,2012,Young adult romantic novel
74,The Girl on the Train,Paula Hawkins,English,2015,Thriller
75,The Shack,William P. Young,English,2007,Novel
76,Uncle Styopa (???? ?????),Sergey Mikhalkov,Russian,1936,"Children's Literature, picture book"
77,The Godfather,Mario Puzo,English,1969,Crime novel
78,Love Story,Erich Segal,English,1970,Romance novel
79,Catching Fire,Suzanne Collins,English,2009,"Young Adult novel, adventure, dystopian, science fiction"
80,Mockingjay,Suzanne Collins,English,2010,"Young Adult novel, adventure, war, science fiction, action thriller"
81,Kitchen (????),Banana Yoshimoto,Japanese,1988,Japanese novel
82,Andromeda Nebula (?????????? ?????????),Ivan Yefremov,Russian,1957,Science fiction novel
83,Autobiography of a Yogi (???? ??????),Paramahansa Yogananda,Hindi,1946,Autobiography
84,Gone Girl,Gillian Flynn,English,2012,Crime thriller novel
85,All Quiet on the Western Front (Im Westen nichts Neues),Erich Maria Remarque,German,1929,War novel
86,The Bermuda Triangle,Charles Berlitz,English,1974,
87,Things Fall Apart ,Chinua Achebe,English,1958,Novel
88,Animal Farm ,George Orwell,English,1945,"Satirical allegorical novella, Political satire, Dystopian Fiction, Roman à clef"
89,Wolf Totem (???),Jiang Rong,Chinese,2004,Semi-autobiographical novel
90,The Happy Hooker: My Own Story,Xaviera Hollander,English,1971,Memoir
91,Jaws,Peter Benchley,English,1974,Thriller
92,Love You Forever,Robert Munsch,English,1986,"Children's literature, picture book, fiction"
93,The Women's Room,Marilyn French,English,1977,Feminist novel
94,What to Expect When You're Expecting,Arlene Eisenberg and Heidi Murkoff,English,1984,Pregnancy guide
95,Adventures of Huckleberry Finn,Mark Twain,English,1885,"Picaresque novel, Bildungsroman, satire, Robinsonade"
96,"The Secret Diary of Adrian Mole, Aged 13¾",Sue Townsend,English,1982,Young adult novel
97,Pride and Prejudice,Jane Austen,English,1813,"Classic regency novel, romance"
98,Kon-Tiki: Across the Pacific in a Raft (Kon-Tiki ekspedisjonen),Thor Heyerdahl,Norwegian,1950,Travel literature
99,The Good Soldier Švejk (Osudy dobrého vojáka Švejka za sv?tové války),Jaroslav Hašek,Czech,1923,Unfinished satirical dark comedy novel
100,Where the Wild Things Are,Maurice Sendak,English,1963,Children's picture book
101,The Power of Positive Thinking,Norman Vincent Peale,English,1952,Self-help
102,The Secret,Rhonda Byrne,English,2006,Self-help
103,Fear of Flying,Erica Jong,English,1973,Romantic novel
104,Dune,Frank Herbert,English,1965,Science fiction novel
105,Charlie and the Chocolate Factory,Roald Dahl,English,1964,Children's fantasy novel
106,The Naked Ape,Desmond Morris,English,1968,"Social Science, Anthropology, Psychology"
107,Where the Crawdads Sing,Delia Owens,English,2018,Coming-of-age Murder mystery
108,"Totto-chan, the Little Girl at the Window (??????????)",Tetsuko Kuroyanagi,Japanese,1981,Autobiographical novel
109,Matilda,Roald Dahl,English,1988,Children's Literature
110,The Book Thief,Markus Zusak,English,2005,Young Adult Fiction
111,The Horse Whisperer,Nicholas Evans,English,1995,
112,Goodnight Moon,Margaret Wise Brown,English,1947,Children's Literature
113,The Neverending Story (Die unendliche Geschichte),Michael Ende,German,1979,Children's Literature
114,All the Light We Cannot See,Anthony Doerr,English,2014,"Historical fiction, war novel"
115,Fifty Shades of Grey,E. L. James,English,2011,Erotica
116,The Outsiders,S. E. Hinton,English,1967,
117,Guess How Much I Love You,Sam McBratney,English,1994,
118,Sh?gun,James Clavell,English,1975,
119,The Poky Little Puppy,Janette Sebring Lowrey,English,1942,
120,The Pillars of the Earth,Ken Follett,English,1989,Historical fiction
121,Perfume (Das Parfum),Patrick Süskind,German,1985,
122,The Grapes of Wrath,John Steinbeck,English,1939,
123,The Shadow of the Wind (La sombra del viento),Carlos Ruiz Zafón,Spanish,2001,
124,Interpreter of Maladies,Jhumpa Lahiri,English,2000,
125,Becoming,Michelle Obama,English,2018,
126,The Hitchhiker's Guide to the Galaxy,Douglas Adams,English,1979,Science fiction
127,Tuesdays with Morrie,Mitch Albom,English,1997,
128,God's Little Acre,Erskine Caldwell,English,1933,
129,Follow Your Heart (Va' dove ti porta il cuore),Susanna Tamaro,Italian,1994,
130,A Wrinkle in Time,Madeleine L'Engle,English,1962,
131,Long Walk to Freedom,Nelson Mandela,English,1994,
132,The Old Man and the Sea,Ernest Hemingway,English,1952,
133,Life After Life,Raymond Moody,English,1975,
134,Peyton Place ,Grace Metalious,English,1956,
135,The Giver,Lois Lowry,English,1993,Dystopian fiction
136,Me Before You,Jojo Moyes,English,2012,
137,Norwegian Wood (???????),Haruki Murakami,Japanese,1987,
138,The Plague (La Peste),Albert Camus,French,1947,
139,No Longer Human (????),Osamu Dazai,Japanese,1948,
140,Man's Search for Meaning (Ein Psychologe erlebt das Konzentrationslager),Viktor Frankl,German,1946,
141,The Divine Comedy (La Divina Commedia),Dante Alighieri,Italian,1304,
142,The Prophet,Kahlil Gibran,English,1923,
143,The Boy in the Striped Pyjamas,John Boyne,English,2006,
144,The Exorcist,William Peter Blatty,English,1971,Horror
145,The Gruffalo,Julia Donaldson,English,1999,
146,Fifty Shades Darker,E. L. James,English,2012,Erotica
147,Tobacco Road,Erskine Caldwell,English,1932,
148,"Ronia, the Robber's Daughter",Astrid Lindgren,Swedish,1981,
149,The Cat in the Hat,Dr. Seuss,English,1957,
150,Diana: Her True Story,Andrew Morton,English,1992,
151,The Help,Kathryn Stockett,English,2009,
152,Catch-22,Joseph Heller,English,1961,
153,The Stranger (L'Étranger),Albert Camus,French,1942,
154,Eye of the Needle,Ken Follett,English,1978,
155,The Lovely Bones,Alice Sebold,English,2002,
156,Wild Swans,Jung Chang,English,1992,
157,Santa Evita,Tomás Eloy Martínez,Spanish,1995,
158,Night (Un di Velt Hot Geshvign),Elie Wiesel,Yiddish,1958,
159,Confucius from the Heart (????????),Yu Dan,Chinese,2006,
160,The Total Woman,Marabel Morgan,English,1974,
161,Knowledge-value Revolution (????),Taichi Sakaiya,Japanese,1985,
162,Problems in China's Socialist Economy (????????????),Xue Muqiao,Chinese,1979,
163,What Color Is Your Parachute?,Richard Nelson Bolles,English,1970,
164,The Dukan Diet,Pierre Dukan,French,2000,
165,The Joy of Sex,Alex Comfort,English,1972,
166,The Gospel According to Peanuts,Robert L. Short,English,1965,
167,The Subtle Art of Not Giving a Fuck,Mark Manson,English,2016,
168,Life of Pi,Yann Martel,English,2001,
169,The Front Runner,Patricia Nell Warren,English,1974,
170,The Goal,Eliyahu M. Goldratt,English,1984,
171,Fahrenheit 451,Ray Bradbury,English,1953,
172,Angela's Ashes,Frank McCourt,English,1996,
173,The Story of My Experiments with Truth (?????? ??????? ???? ???????),Mohandas Karamchand Gandhi,Gujarati,1929,
174,Bridget Jones's Diary,Helen Fielding,English,1996,
